"Study.Sample.ID"	"Study.Name"	"LIDE.Sample.ID"	"Site.Name"	"Sample.Combining.needed."	"USGS_ID"	"SSdate"	"SEdate"	"Collection.Start.Date"	"Sample.Type"	"Event.Type"	"Adenovirus.C.D.F"	"Adenovirus.A"	"Adenovirus.B"	"Enterovirus"	"G1.Norovirus"	"G2.Norovirus"	"HAV"	"Rotavirus"	"Campylobacter"	"Salmonella"	"EHEC"	"Cryptosporidium"	"BVDV1"	"BVDV2"	"Rotavirus.a"	"Rotavirus.c"	"Bovine.Enterovirus"	"Coronavirus"	"Bovine.Adenovirus"	"Bovine.Polyomavirus"	"Mycobacterium.Avium"	"Mycobacterium.Avium.paratuber"	"pdate"	"nmonth"	"ddate"	"Human_virus"	"Bacteria"	"Protozoa"	"Bovine_virus"	"Human"	"All_pathogens"	"cmonth"	"Rotavirus.a_occur"	"Bovine.Polyomavirus_occur"	"Adenovirus.C.D.F_occur"	"Adenovirus.A_occur"	"Enterovirus_occur"	"Abb2"	"Ddate"	"SEpdate"	"FT."	"Site.Code"	"Abb."	"Sample.Date"	"Event"	"Enterococci.CFU.100ml"	"E..coli.CFU.100ml"	"BacHuman.CN.100ml"	"RERUN.BacHuman.CN.100ml"	"BacSp.CN.100ml"	"Ratio.Human.Sp"	"Entero.CN.100ml"	"Lachno.2.CN.100ml"	"RERUN.Lachno.2.CN.100ml"	"Ruminant.CN.100ml"	"Cow.CN.100ml"	"lachno"	"lachnocen"	"BacHuman"	"BacHumancen"	"Abb2.1"	"GLWI.Site.Name"	"Sample.Date.1"	"GLWI.Study.Sample.ID"	"USGS_ID.1"	"X"	"Sample.Start.date.2"	"Sample.End.date.2"	"X.1"	"USGS.Sample.Type.2"	"USGS.Event.Type"	"USGS.Event.Type.2"	"GLWI.Event"	"Ebpdate"	"Eepdate"	"DO_mean"	"DO_max"	"DO_min"	"DO_median"	"Q_mean"	"Q_max"	"Q_min"	"Q_median"	"SC_mean"	"SC_max"	"SC_min"	"SC_median"	"TURB_mean"	"TURB_max"	"TURB_min"	"TURB_median"	"WTEMP_mean"	"WTEMP_max"	"WTEMP_min"	"WTEMP_median"
"HW 028"	"Milw Corridor Study USGS"	"33909 - 33908"	"Honey"	FALSE	"HW 028"	"6/15/2010 15:11"	"6/16/2010 5:45"	"15-Jun-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	10.45	0	0	0	0	0	204.22	0	0	0	0	0	0	0	"6/15/2010"	5	"0010-06-15"	0	10.45	0	204.22	10.45	214.67	"Jun"	1	0	0	0	0	"HW"	"6/15/2010"	"6/16/2010 5:45"	9313	"USGSHW028"	"HW"	"18-Jun-10"	"CSO"	"TNTC"	24500	"6461"	""	"221617"	0	"335050"	"3737"	""	NA	NA	"3737"	3737	"6461"	6461	"HW"	"Honey"	"18-Jun-10"	"HW 028"	"HW 028"	""	"6/15/2010 15:11"	"6/16/2010 5:45"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2010-06-15 15:11:00	2010-06-16 05:45:00	8.8297142857143	9.1	8.5	8.8	255.979782173410	1748.613	2.151541	51.95354	606.857142857143	1710	71	667	79.8683908045977	240	3.1	62.5	18.2325714285714	19	17.1	18.3
"HW 030"	"Milw Corridor Study USGS"	"33912 - 33911"	"Honey"	FALSE	"HW 030"	"7/13/2010 8:51"	"7/14/2010 8:15"	"13-Jul-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7/13/2010"	6	"0010-07-13"	0	0	0	0	0	0	"Jul"	0	0	0	0	0	"HW"	"7/13/2010"	"7/14/2010 8:15"	9453	"USGSHW030"	"HW"	"16-Jul-10"	"Baseflow"	"690"	400	"BLD"	"90"	"5644"	NA	"5662"	"525"	"368"	NA	NA	"368"	368	"90"	90	"HW"	"Honey"	"16-Jul-10"	"HW 030"	"HW 030"	""	"7/13/2010 8:51"	"7/14/2010 8:15"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-07-13 08:51:00	2010-07-14 08:15:00	7.50569395017794	8.7	6.6	7.3	1.77955742553191	2.151541	1.569813	1.739996	1819.71530249110	1850	1780	1820	1.40249110320285	6.1	1	1.3	21.4060498220641	23.1	19.3	21.6
"HW 031"	"Milw Corridor Study USGS"	"34568 - 34567"	"Honey"	FALSE	"HW 031"	"7/15/2010 7:14"	"7/15/2010 15:23"	"15-Jul-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	1.04	0	0	0	0	0	0	0	0	0	0	0	0	0	"7/15/2010"	6	"0010-07-15"	0	1.04	0	0	1.04	1.04	"Jul"	0	0	0	0	0	"HW"	"7/15/2010"	"7/15/2010 15:23"	9496	"USGSHW031"	"HW"	"16-Jul-10"	"CSO"	"27000"	9800	"7883"	"2378"	"22725"	0	"145109"	"BLD"	"8385"	NA	NA	"8385"	8385	"2378"	2378	"HW"	"Honey"	"16-Jul-10"	"HW 031"	"HW 031"	""	"7/15/2010 7:14"	"7/15/2010 15:23"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2010-07-15 07:14:00	2010-07-15 15:23:00	8.26428571428571	8.4	8.1	8.3	218.770716326531	289.725	181.1775	220.408	644.316326530612	808	459	672.5	31.2040816326531	68	16	28	22.5816326530612	23.8	22	22.3
"HW 032"	"Milw Corridor Study USGS"	"33914 - 33913"	"Honey"	FALSE	"HW 032"	"7/22/2010 10:15"	"7/22/2010 17:39"	"22-Jul-10"	"Event"	"Rainfall "	0	0	0	1457.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7/22/2010"	6	"0010-07-22"	1457.13	0	0	0	1457.13	1457.13	"Jul"	0	0	0	0	1	"HW"	"7/22/2010"	"7/22/2010 17:39"	9574	"USGSHW032"	"HW"	"23-Jul-10"	"CSO"	"43000"	25000	"12373"	"4163"	"138238"	0	"485815"	"3112"	"10350"	NA	NA	"10350"	10350	"4163"	4163	"HW"	"Honey"	"23-Jul-10"	"HW 032"	"HW 032"	""	"7/22/2010 10:15"	"7/22/2010 17:39"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2010-07-22 10:15:00	2010-07-22 17:39:00	8.28651685393258	8.6	7.9	8.3	233.037630764045	859.7132	9.045578	142.3999	382.056179775281	1730	86	231	108.992134831461	270	6.6	100	21.9808988764045	22.6	19.2	22.3
"HW 033"	"Milw Corridor Study USGS"	"33916 - 33915"	"Honey"	FALSE	"HW 033"	"7/23/2010 9:55"	"7/26/2010 4:27"	"23-Jul-10"	"Event"	"Rainfall "	0	0	0	343.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7/23/2010"	6	"0010-07-23"	343.12	0	0	0	343.12	343.12	"Jul"	0	0	0	0	1	"HW"	"7/23/2010"	"7/26/2010 4:27"	9611	"USGSHW033"	"HW"	"26-Jul-10"	"CSO"	"6000"	3400	"5793"	""	"8295"	1	"51784"	"5560"	""	NA	NA	"5560"	5560	"5793"	5793	"HW"	"Honey"	"26-Jul-10"	"HW 033"	"HW 033"	""	"7/23/2010 9:55"	"7/26/2010 4:27"	NA	"Event"	"Rainfall "	"CSO"	"CSO"	2010-07-23 09:55:00	2010-07-26 04:27:00	8.27659574468085	8.6	8.1	8.3	125.853204843554	682.9374	28.4018	69.10413	980.267834793492	1460	232	1000	19.5430363864492	260	1.8	8.5	22.0807259073842	23.6	19.6	22.2
"HW 034"	"Milw Corridor Study USGS"	"33918 - 33917"	"Honey"	FALSE	"HW 034"	"8/4/2010 10:39"	"8/5/2010 8:50"	"4-Aug-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	55.03	0	0	0	0	0	85.12	0	0	0	0	0	0	0	"8/4/2010"	7	"0010-08-04"	0	55.03	0	85.12	55.03	140.15	"Aug"	1	0	0	0	0	"HW"	"8/4/2010"	"8/5/2010 8:50"	9827	"USGSHW034"	"HW"	"5-Aug-10"	"Baseflow"	"580"	920	"5492"	"1688"	"4139"	1	"19789"	"2376"	"2648"	NA	NA	"2648"	2648	"1688"	1688	"HW"	"Honey"	"5-Aug-10"	"HW 034"	"HW 034"	""	"8/4/2010 10:39"	"8/5/2010 8:50"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-08-04 10:39:00	2010-08-05 08:50:00	8.34375	9.4	7.7	8.1	6.80341503370787	11.05797	4.038733	5.625916	1330.6640625	1660	1080	1310	1.659765625	3	1.3	1.55	21.115234375	22.4	19.7	21.35
"HW 036"	"Milw Corridor Study USGS"	"34001 - 34000"	"Honey"	FALSE	"HW 036"	"8/20/2010 18:43"	"8/21/2010 8:55"	"20-Aug-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"8/20/2010"	7	"0010-08-20"	0	0	0	0	0	0	"Aug"	0	0	0	0	0	"HW"	"8/20/2010"	"8/21/2010 8:55"	9889	"USGSHW035"	"HW"	"23-Aug-10"	"Rain"	"11000"	20500	"8525"	""	"435646"	0	"381479"	"25580"	""	NA	NA	"25580"	25580	"8525"	8525	"HW"	"Honey"	"23-Aug-10"	"HW 036"	"HW 036"	"Changed GLWI to match USGS"	"8/20/2010 18:43"	"8/21/2010 8:55"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-08-20 18:43:00	2010-08-21 08:55:00	7.66198830409357	8.1	6.6	7.8	76.1545960117647	341.642	7.259252	45.46131	394.040935672515	1240	120	404	101.623456790123	300	4	85.5	22.8754385964912	24.8	22	22.9
"HW 037"	"Milw Corridor Study USGS"	"34071 - 34070"	"Honey"	FALSE	"HW 037"	"10/13/2010 12:41"	"10/14/2010 10:56"	"13-Oct-10"	"Baseflow"	"Baseflow"	0	0	0	2.73	0	0	0	0	7.53	0	0	0	0	0	0	0	0	0	0	0	0	0	"10/13/2010"	9	"0010-10-13"	2.73	7.53	0	0	10.26	10.26	"Oct"	0	0	0	0	1	"HW"	"10/13/2010"	"10/14/2010 10:56"	10124	"USGSHW036"	"HW"	"14-Oct-10"	"Baseflow"	"20"	150	"BLD"	"*"	"76760"	NA	"8342"	"346"	"255"	NA	NA	"255"	255	"BLD"	60	"HW"	"Honey"	"14-Oct-10"	"HW 037"	"HW 037"	"Changed GLWI to match USGS"	"10/13/2010 12:41"	"10/14/2010 10:56"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-10-13 12:41:00	2010-10-14 10:56:00	8.175	10.2	7.2	7.8	1.05260454606742	1.121065	0.93	1.054981	1556	1570	1540	1560	1.12538461538462	2.2	0.9	1.1	13.4411538461538	15.1	11.8	13.5
"HW 038"	"Milw Corridor Study USGS"	"34097 - 34096"	"Honey"	FALSE	"HW 038"	"11/10/2010 9:37"	"11/11/2010 7:47"	"10-Nov-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11/10/2010"	10	"0010-11-10"	0	0	0	0	0	0	"Nov"	0	0	0	0	0	"HW"	"11/10/2010"	"11/11/2010 7:47"	10329	"USGSHW038"	"HW"	"11-Nov-10"	"Baseflow"	"240"	210	"363"	"*"	"154729"	0	"5039"	"0"	"BLD"	NA	NA	"BLD"	60	"363"	363	"HW"	"Honey"	"11-Nov-10"	"HW 038"	"HW 038"	""	"11/10/2010 9:37"	"11/11/2010 7:47"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-11-10 09:37:00	2010-11-11 07:47:00	9.59172932330827	11	8.6	9.3	1.07205888764045	1.121065	1.054981	1.054981	1370.75187969925	1420	1340	1370	1.09022556390977	2	0.9	1.1	9.2406015037594	9.6	8.5	9.3
"HW 039"	"Milw Corridor Study USGS"	"34115 - 34114"	"Honey"	FALSE	"HW 039"	"11/22/2010 7:32"	"11/23/2010 6:15"	"22-Nov-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11/22/2010"	10	"0010-11-22"	0	0	0	0	0	0	"Nov"	0	0	0	0	0	"HW"	"11/22/2010"	"11/23/2010 6:15"	10339	"USGSHW039"	"HW"	"23-Nov-10"	"Rain"	"26800"	18600	"27202"	""	"17568593"	0	"735921"	"29592"	""	NA	NA	"29592"	29592	"27202"	27202	"HW"	"Honey"	"23-Nov-10"	"HW 039"	"HW 039"	""	"11/22/2010 7:32"	"11/23/2010 6:15"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-11-22 07:32:00	2010-11-23 06:15:00	9.64175824175824	10.3	8.4	9.6	37.2637754190476	132.903	1.870178	25.588385	349.285714285714	1460	147	272	60.3184501845018	380	3.5	43	10.6120879120879	12.3	7.6	10.8
"HW 040"	"Milw Corridor Study USGS"	"34131 - 34130"	"Honey"	FALSE	"HW 040"	"11/29/2010 20:46"	"11/30/2010 18:10"	"29-Nov-10"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"11/29/2010"	10	"0010-11-29"	0	0	0	0	0	0	"Nov"	0	0	0	0	0	"HW"	"11/29/2010"	"11/30/2010 18:10"	10341	"USGSHW040"	"HW"	"1-Dec-10"	"Rain"	"9000"	10400	"47981"	""	"7832827"	0	"331233"	"44008"	""	NA	NA	"44008"	44008	"47981"	47981	"HW"	"Honey"	"1-Dec-10"	"HW 040"	"HW 040"	""	"11/29/2010 20:46"	"11/30/2010 18:10"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2010-11-29 20:46:00	2010-11-30 18:10:00	10.725	11	10.3	10.7	21.7378834207650	45.46131	3.590853	22.48016	468.178571428571	1340	241	428	15.4115079365079	43	4.8	9.65	7.32301587301587	8.5	5.5	7.75
"HW 041"	"Milw Corridor Study USGS"	"34325 - 34324"	"Honey"	FALSE	"HW 041"	"12/11/2010 16:26"	"12/12/2010 18:19"	"11-Dec-10"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12/11/2010"	11	"0010-12-11"	0	0	0	0	0	0	"Dec"	0	0	0	0	0	"HW"	"12/11/2010"	"12/12/2010 18:19"	10359	"USGSHW041"	"HW"	"13-Dec-10"	"Rain"	"2700"	3500	"19862"	""	"4901986"	0	"327318"	"31290"	""	NA	NA	"31290"	31290	"19862"	19862	"HW"	"Honey"	"13-Dec-10"	"HW 041"	"HW 041"	""	"12/11/2010 16:26"	"12/12/2010 18:19"	NA	"Event"	"Mix"	"Mix"	"Rain"	2010-12-11 16:26:00	2010-12-12 18:19:00	12.8748387096774	13.4	11.7	12.8	74.6919887947883	202.46	10.75602	41.41106	3303.42258064516	7120	681	2890	88.3094462540717	330	29	66	2.22419354838710	3.4	1.1	2.2
"HW 042"	"Milw Corridor Study USGS"	"34331 - 34330"	"Honey"	FALSE	"HW 042"	"12/19/2010 12:44"	"12/20/2010 9:07"	"19-Dec-10"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12/19/2010"	11	"0010-12-19"	0	0	0	0	0	0	"Dec"	0	0	0	0	0	"HW"	"12/19/2010"	"12/20/2010 9:07"	10364	"USGSHW042"	"HW"	"20-Dec-10"	"Baseflow"	"190"	280	"28381"	""	"641767"	0	"53372"	"16043"	""	NA	NA	"16043"	16043	"28381"	28381	"HW"	"Honey"	"20-Dec-10"	"HW 042"	"HW 042"	""	"12/19/2010 12:44"	"12/20/2010 9:07"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2010-12-19 12:44:00	2010-12-20 09:07:00	12.9208163265306	13.4	12.3	13	1.78169629268293	2.007288	1.653586	1.74	2561.51020408163	2640	2510	2560	2.02571428571429	2.4	1.8	2	0	0	0	0
"HW 043"	"Milw Corridor Study USGS"	"34558 - 34557"	"Honey"	FALSE	"HW 043"	"1/5/2011 10:01"	"1/6/2011 8:20"	"5-Jan-11"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0.61	0	0	0	0	0	0	0	0	0	0	0	0	0	"1/5/2011"	0	"0011-01-05"	0	0.61	0	0	0.61	0.61	"Jan"	0	0	0	0	0	"HW"	"1/5/2011"	"1/6/2011 8:20"	10454	"USGSHW043"	"HW"	"6-Jan-11"	"Baseflow"	"210"	130	"12584"	""	"387152"	0	"105559"	"10058"	""	NA	NA	"10058"	10058	"12584"	12584	"HW"	"Honey"	"6-Jan-11"	"HW 043"	"HW 043"	""	"1/5/2011 10:01"	"1/6/2011 8:20"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2011-01-05 10:01:00	2011-01-06 08:20:00	13.6332089552239	14.5	12.8	13.7	1.68886621348315	2.303178	1.569817	1.653586	4188.47014925373	4860	3790	4100	5.92014925373134	9	4.6	5.6	0	0	0	0
"HW 044"	"Milw Corridor Study USGS"	"34607 - 34606"	"Honey"	FALSE	"HW 044"	"2/16/2011 14:05"	"2/19/2011 21:22"	"16-Feb-11"	"Event"	"Mix"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2/16/2011"	1	"0011-02-16"	0	0	0	0	0	0	"Feb"	0	0	0	0	0	"HW"	"2/16/2011"	"2/19/2011 21:22"	10469	"USGSHW044"	"HW"	"21-Feb-11"	"Baseflow"	"0"	100	"BLD"	"390"	"200292"	NA	"60030"	"12255"	"6983"	NA	NA	"6983"	6983	"390"	390	"HW"	"Honey"	"21-Feb-11"	"HW 044"	"HW 044"	""	"2/16/2011 14:05"	"2/19/2011 21:22"	NA	"Event"	"Mix"	"Mix"	"Baseflow"	2011-02-16 14:05:00	2011-02-19 21:22:00	13.4304942166141	14.5	12.6	13.4	43.3063268848758	132.903	10.75602	33.38006	3782.00841219769	6120	1990	3710	77.1339001062699	370	13	40	1.95783385909569	4.3	0.4	1.8
"HW 045"	"Milw Corridor Study USGS"	"34591 - 34590"	"Honey"	FALSE	"HW 045"	"2/28/2011 11:03"	"3/1/2011 14:43"	"28-Feb-11"	"Baseflow"	"Baseflow"	0.02	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2/28/2011"	1	"0011-02-28"	0.64	0	0	0	0.64	0.64	"Feb"	0	0	1	0	1	"HW"	"2/28/2011"	"3/1/2011 14:43"	10477	"USGSHW045"	"HW"	"1-Mar-11"	"Baseflow"	"182"	108	"199107"	""	"2813767"	0	"26091"	"160716"	""	NA	NA	"160716"	160716	"199107"	199107	"HW"	"Honey"	"1-Mar-11"	"HW 045"	"HW 045"	""	"2/28/2011 11:03"	"3/1/2011 14:43"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2011-02-28 11:03:00	2011-03-01 14:43:00	13.7841463414634	16.1	12.6	12.9	6.24765458181818	11.67652	2.988131	5.054178	6630.24390243902	8180	5970	6370	23.8515243902439	57	7.3	19	2.29024390243902	5.8	0.6	1.8
"HW 046"	"Milw Corridor Study USGS"	"34619 - 34618"	"Honey"	FALSE	"HW 046"	"3/9/2011 4:57"	"3/10/2011 8:31"	"9-Mar-11"	"Event"	"Snowmelt"	0	0	0	5.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/9/2011"	2	"0011-03-09"	5.89	0	0	0	5.89	5.89	"Mar"	0	0	0	0	1	"HW"	"3/9/2011"	"3/10/2011 8:31"	10480	"USGSHW046"	"HW"	"10-Mar-11"	"Rain"	"1010"	880	"27486"	""	"918152"	0	"73483"	"36580"	""	NA	NA	"36580"	36580	"27486"	27486	"HW"	"Honey"	"10-Mar-11"	"HW 046"	"HW 046"	""	"3/9/2011 4:57"	"3/10/2011 8:31"	NA	"Event"	"Snowmelt"	"Snowmelt"	"Rain"	2011-03-09 04:57:00	2011-03-10 08:31:00	13.2117824773414	13.6	12.9	13.2	37.1667373413897	76.39618	17.74651	31.10968	4412.14501510574	7100	3160	3990	95.2133757961783	220	26	83	2.23534743202417	2.6	1.5	2.3
"HW 047"	"Milw Corridor Study USGS"	"34631 - 34630"	"Honey"	TRUE	"HW 047"	"3/14/2011 15:47"	"3/17/2011 8:02"	"14-Mar-11"	"Event"	"Snowmelt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/14/2011"	2	"0011-03-14"	0	0	0	0	0	0	"Mar"	0	0	0	0	0	"HW"	"3/14/2011"	"3/17/2011 8:02"	10489	"USGSHW047"	"HW"	"17-Mar-11"	"Baseflow"	"380"	340	"12480"	"3788"	"386563"	0	"36685"	"6182"	"4943"	NA	NA	"4943"	4943	"3788"	3788	"HW"	"Honey"	"17-Mar-11"	"HW 047"	"HW 047"	""	"3/14/2011 15:47"	"3/17/2011 8:02"	NA	"Event"	"Snowmelt"	"Snowmelt"	"Baseflow"	2011-03-14 15:47:00	2011-03-17 08:02:00	13.0897269180754	16.8	11.8	12.6	20.1206706290076	34.55029	9.879252	20.24774	2336.18985695709	3080	1610	2290	17.5882506527415	100	3.5	13.5	4.6702210663199	7.7	2.4	4.8
"HW 048"	"Milw Corridor Study USGS"	"34645 - 34644"	"Honey"	TRUE	"HW 047"	"3/17/2011 13:20"	"3/19/2011 7:47"	"17-Mar-11"	"Event"	"Snowmelt"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/17/2011"	2	"0011-03-17"	0	0	0	0	0	0	"Mar"	0	0	0	0	0	"HW"	"3/17/2011"	"3/19/2011 7:47"	10524	"USGSHW048"	"HW"	"21-Mar-11"	"Rain"	"530"	70	"5285"	""	"416896"	0	"54152"	"8458"	""	NA	NA	"8458"	8458	"5285"	5285	"HW"	"Honey"	"21-Mar-11"	"HW 048"	"HW 048"	"Changed USGS to HW 048"	"3/17/2011 13:20"	"3/19/2011 7:47"	NA	"Event"	"Snowmelt"	"Snowmelt"	"Rain"	2011-03-17 13:20:00	2011-03-19 07:47:00	12.6464705882353	15.3	11.6	12.2	26.1673737971698	49.0058	10.1667	21.573595	2003.07843137255	2560	1420	2110	17.5531680440771	83	5.3	8.9	5.79921568627451	7.4	3.7	5.7
"HW 049"	"Milw Corridor Study USGS"	"34657 - 34656"	"Honey"	FALSE	"HW 049"	"3/22/2011 13:45"	"3/23/2011 19:58"	"22-Mar-11"	"Event"	"Rainfall "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/22/2011"	2	"0011-03-22"	0	0	0	0	0	0	"Mar"	0	0	0	0	0	"HW"	"3/22/2011"	"3/23/2011 19:58"	10594	"USGSHW049"	"HW"	"24-Mar-11"	"Rain"	"180"	730	"3533"	""	"297429"	NA	"51945"	"8295"	""	NA	NA	"8295"	8295	"3533"	3533	"HW"	"Honey"	"24-Mar-11"	"HW 049"	"HW 049"	"okay"	"3/22/2011 13:45"	"3/23/2011 19:58"	NA	"Event"	"Rainfall "	"Rainfall "	"Rain"	2011-03-22 13:45:00	2011-03-23 19:58:00	13.1630853994490	13.6	12.6	13.1	124.946029531680	326.3384	36.96152	94.38395	1038.78236914601	1640	483	1070	56.5565476190476	240	13	42	3.48539944903581	4.7	2.4	3.4
"HW 050"	"Milw Corridor Study USGS"	"34673 - 34672"	"Honey"	FALSE	"HW 050"	"3/29/2011 8:46"	"3/30/2011 10:37"	"29-Mar-11"	"Baseflow"	"Baseflow"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3/29/2011"	2	"0011-03-29"	0	0	0	0	0	0	"Mar"	0	0	0	0	0	"HW"	"3/29/2011"	"3/30/2011 10:37"	10599	"USGSHW050"	"HW"	"30-Mar-11"	"Baseflow"	"102"	44	"11173"	"4845"	"319762"	NA	"16158"	"22"	"19590"	NA	NA	"19590"	19590	"4845"	4845	"HW"	"Honey"	"30-Mar-11"	"HW 050"	"HW 050"	""	"3/29/2011 8:46"	"3/30/2011 10:37"	NA	"Baseflow"	"Baseflow"	"Baseflow"	"Baseflow"	2011-03-29 08:46:00	2011-03-30 10:37:00	13.2954838709677	14.7	12.1	13	3.99542936893204	4.784716	3.590863	4.038744	2943.25806451613	2980	2880	2950	4.81903225806452	17	2.7	3.4	4.0058064516129	8.6	1.6	3
